Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Mar 03 2021 09:04:46,3624,1,2,2,0.88,0.948,0.981,0.981,1,0,0.9479,0.9806,0.9806,-0.0327,-0.063,document.createElement(_section_);ineffable()-->. ineffable
Mar 03 2021 09:04:55,4078,1,2,2,1.13,0.945,0.98,0.98,4,1,0.0548,0.0198,0.0198,0.035,0.0026,document.createElement(_section_);fable()-->. fable
Mar 03 2021 09:05:08,5102,1,2,4,1.98,0.943,0.974,0.974,4,1,0.0573,0.0256,0.0256,0.0317,0.0026,document.createElement(_section_);benediction()-->. benediction
3月 03 2021 09:06:49,1360,1,2,8,3.76,0.94,0.974,0.974,4,1,0.0595,0.026,0.026,0.0336,0.0029,document.createElement(_section_);dictation()-->. dictation
Mar 04 2021 10:23:18,201,2,4,8,2.04,0.881,0.936,0.936,3,1,0.1193,0.0639,0.0639,0.0554,0.0101,document.createElement(_section_);-sci知道()-->. -sci知道
Mar 04 2021 10:23:33,4468,1,2,4,1.75,0.937,0.96,0.96,4,1,0.0633,0.0396,0.0396,0.0238,0.0024,document.createElement(_section_);apology()-->. apology
Mar 04 2021 10:23:52,4157,2,5,3,0.5,0.886,0.933,0.933,4,1,0.1141,0.0671,0.0671,0.047,0.0085,document.createElement(_section_);dictatorial()-->. dictatorial
Mar 04 2021 10:24:06,4664,2,4,3,0.86,0.899,0.932,0.932,3,1,0.1015,0.0683,0.0683,0.0332,0.0056,document.createElement(_section_);dictum()-->. dictum
Mar 04 2021 10:24:27,3325,1,2,4,1.94,0.95,0.958,0.958,3,1,0.0505,0.0417,0.0417,0.0088,0.0008,document.createElement(_section_);eulogy()-->. eulogy
Mar 04 2021 10:24:34,3527,1,2,5,2.26,0.951,0.957,0.957,4,1,0.049,0.0425,0.0425,0.0064,0.0006,document.createElement(_section_);confess()-->. confess
Mar 04 2021 10:24:40,4305,1,3,4,1.47,0.952,0.959,0.959,5,1,0.0475,0.0406,0.0406,0.0069,0.0006,document.createElement(_section_);infamous()-->. infamous
Mar 04 2021 10:24:49,4934,2,4,41,10.16,0.916,0.994,0.994,4,1,0.0837,0.0056,0.0059,0.0778,0.007,document.createElement(_section_);audit()-->. audit
Mar 04 2021 10:24:53,3210,2,6,33,5.57,0.924,0.995,0.995,5,1,0.0763,0.0052,0.0055,0.0708,0.0058,document.createElement(_section_);indication()-->. indication
Mar 04 2021 10:25:01,29,2,6,42,7.07,0.93,0.995,0.995,5,1,0.0701,0.0051,0.0054,0.0647,0.0049,document.createElement(_section_);-fa/fam说()https://dict.youdao.com/dictvoice?audio=-fa/fam说&type=1-->. -fa/fam说. https://dict.youdao.com/dictvoice?audio=-fa/fam说&type=1
Mar 04 2021 10:25:14,4483,2,4,46,11.51,0.935,0.995,0.995,4,1,0.0648,0.0051,0.0054,0.0594,0.0042,document.createElement(_section_);prefatory()-->. prefatory
Mar 04 2021 10:25:20,4760,2,4,31,7.84,0.94,0.994,0.994,4,1,0.0602,0.0056,0.0059,0.0543,0.0036,document.createElement(_section_);diction()-->. diction
Mar 04 2021 23:12:18,201,1,2,1,0.5,0.978,0.998,0.998,1,0,0.9783,0.998,0.998,-0.0197,-0.039,document.createElement(_section_);-sci知道()-->. -sci知道
Mar 04 2021 23:12:32,29,1,42,47,1.11,0.988,0.998,0.998,5,1,0.0116,0.002,0.002,0.0097,0.0001,document.createElement(_section_);-fa/fam说()https://dict.youdao.com/dictvoice?audio=-fa/fam说&type=1-->. -fa/fam说. https://dict.youdao.com/dictvoice?audio=-fa/fam说&type=1
Mar 04 2021 23:17:50,4664,1,4,30,7.53,0.978,0.998,0.997,5,1,0.0217,0.002,0.0026,0.0191,0.0005,document.createElement(_section_);dictum()-->. dictum
Mar 04 2021 23:23:35,3325,1,4,22,5.46,0.951,0.998,0.997,5,1,0.0489,0.0021,0.0032,0.0457,0.0024,document.createElement(_section_);eulogy()-->. eulogy
Mar 04 2021 23:23:41,4468,1,4,15,3.8,0.962,0.998,0.997,5,1,0.0383,0.0022,0.0035,0.0348,0.0015,document.createElement(_section_);apology()-->. apology
Mar 04 2021 23:23:48,3527,1,5,34,6.87,0.962,0.998,0.996,5,1,0.0383,0.0021,0.0037,0.0346,0.0015,document.createElement(_section_);confess()-->. confess
Mar 04 2021 23:23:54,4760,1,31,21,0.68,0.981,0.998,0.996,3,1,0.0193,0.002,0.0038,0.0156,0.0004,document.createElement(_section_);diction()-->. diction
Mar 04 2021 23:24:03,4305,1,4,18,4.61,0.975,0.998,0.996,4,1,0.0248,0.0021,0.0039,0.0208,0.0006,document.createElement(_section_);infamous()-->. infamous
Mar 04 2021 23:24:17,3210,1,2,1,0.5,0.989,0.998,0.996,2,0,0.9891,0.998,0.996,-0.0069,-0.0137,document.createElement(_section_);indication()-->. indication
Mar 04 2021 23:24:23,4934,1,41,18,0.44,0.983,0.998,0.996,5,1,0.0174,0.002,0.004,0.0134,0.0003,document.createElement(_section_);audit()-->. audit
Mar 04 2021 23:24:34,4483,1,46,30,0.66,0.981,0.998,0.996,4,1,0.0193,0.002,0.0041,0.0152,0.0004,document.createElement(_section_);prefatory()-->. prefatory
Mar 04 2021 23:43:50,4157,1,4,28,7.11,0.984,0.998,0.997,4,1,0.0158,0.002,0.0031,0.0127,0.0002,document.createElement(_section_);dictatorial()-->. dictatorial
3月 07 2021 21:40:31,4822,5,17,23,1.37,0.814,0.984,0.983,5,1,0.1861,0.0161,0.0169,0.1692,0.0343,document.createElement(_section_);addict()-->. addict
